ticker,degree,weighted_degree,betweenness,eigenvector,community,rank_degree,rank_weighted_degree,rank_betweenness,rank_eigenvector
CTRE,6,4.619677668901242,0.0,1.189696295074238e-09,11,539.0,527.0,1254.0,2150.0
BJRI,6,3.7059945504765452,0.015707815360894283,5.980340965211164e-11,19,539.0,591.0,67.0,2621.0
NJR,6,4.1750452831948515,0.0006415898407803561,9.81445067378402e-09,8,539.0,558.0,607.0,1685.0
EPD,6,4.432540947876641,0.0,4.5189985136005746e-08,10,539.0,538.0,1254.0,1464.0
OII,6,4.322065439047304,4.818348270212971e-07,1.0920166554760736e-08,10,539.0,550.0,1229.0,1664.0
OHI,6,4.633144045881049,0.0,1.1855677707411578e-09,11,539.0,526.0,1254.0,2151.0
TTE,6,4.606796421478392,1.0707440600473268e-07,1.5567953411815497e-08,10,539.0,528.0,1247.0,1620.0
TNK,6,3.846446445721062,0.005926568372361952,2.4987997642494773e-13,49,539.0,573.0,167.0,3115.0
TPVG,6,3.1931423365142324,0.0008673026886383347,3.0839699474242767e-09,5,539.0,629.0,524.0,1855.0
MGM,6,4.158457109897925,0.007072371591018599,1.4924433879790633e-11,58,539.0,559.0,149.0,2764.0
IQV,6,3.785241772936701,0.014686325527609135,1.0449016227245582e-06,53,539.0,578.0,75.0,793.0
LAR,6,1.3439545545572553,0.0017346053772766695,6.299010620682382e-15,24,539.0,1001.0,388.0,3332.0
FUL,6,3.5422815206139204,0.009658860942468919,1.2263600949950878e-09,31,539.0,607.0,113.0,2139.0
LADR,6,2.9190252206998744,0.0008673026886383347,5.849722327302673e-10,14,539.0,664.0,524.0,2260.0
LEO,6,4.299275877494177,0.0,8.289886532780389e-09,33,539.0,553.0,1254.0,1716.0
FSM,6,4.494181841208241,1.9273393080851883e-07,5.874372638373772e-10,26,539.0,533.0,1242.0,2258.0
UUUU,6,2.9695117942643674,0.006786161703767948,1.1239854600443025e-08,42,539.0,655.0,155.0,1657.0
JD,6,3.344463125112432,0.009533583887443384,2.2231725893464677e-13,22,539.0,620.0,115.0,3124.0
BCS,6,4.472509473246904,0.0006745687578298172,9.357434889216998e-09,7,539.0,537.0,604.0,1703.0
BYD,6,3.7164959540854,0.004629950852847643,1.30432636994366e-12,58,539.0,589.0,212.0,3001.0
UNM,6,4.553211269020871,0.0,0.0012629727001107246,54,539.0,531.0,1254.0,165.0
VSH,6,3.6722813330492095,0.012854389515274163,7.44070226304205e-12,57,539.0,596.0,91.0,2835.0
KKR,6,3.7230773475180383,0.0008673026886383347,2.6420381232781062e-08,54,539.0,587.0,524.0,1539.0
DSM,6,4.278635348367639,0.0,8.224401340600462e-09,33,539.0,554.0,1254.0,1717.0
CB,6,4.48100414792133,4.611847630060986e-06,2.6506027984441434e-05,54,539.0,535.0,1194.0,405.0
WRB,6,4.327068019922884,0.0005872052203361831,2.6197948985130776e-05,54,539.0,548.0,621.0,406.0
GTY,6,4.3409344996744395,8.411103445544266e-06,9.76877734207736e-09,11,539.0,545.0,1184.0,1689.0
HIG,5,3.68719728595318,3.0351553906095488e-05,3.713224021195756e-05,54,591.0,593.0,1177.0,391.0
ACB,5,1.5660740568392455,0.004485882239568276,4.939172130242199e-07,42,591.0,886.0,218.0,1014.0
WLK,5,3.1495482700464525,0.0005782017924255565,5.660094240159522e-13,31,591.0,634.0,641.0,3052.0
BBAR,5,4.117019281749301,0.0,1.8515293415900223e-12,24,591.0,561.0,1254.0,2982.0
HMY,5,3.6755275324764245,0.00028910089621277823,4.43841164328325e-10,26,591.0,595.0,818.0,2324.0
BRK-A,5,3.919493305369503,0.0,0.0005966717103248393,54,591.0,570.0,1254.0,241.0
AN,5,3.75239721974137,6.42446436028396e-07,2.5560852985020177e-11,31,591.0,580.0,1224.0,2685.0
GSBD,5,2.6341723963622177,0.0005782017924255565,3.05675813889577e-09,5,591.0,691.0,641.0,1857.0
HD,5,3.142369353360422,0.003469210754553339,1.677714954306263e-11,55,591.0,635.0,324.0,2748.0
WMB,5,3.705213032599136,0.0,4.2809119741864143e-08,10,591.0,592.0,1254.0,1472.0
USFD,5,3.5113584717601944,0.008959236773633998,6.334599457075813e-11,11,591.0,611.0,119.0,2617.0
BX,5,3.066669191834092,0.002023706273489448,2.5341294638355563e-06,54,591.0,643.0,369.0,698.0
JBHT,5,3.3719784737111644,0.008510166714850149,1.8784024153086348e-08,16,591.0,617.0,125.0,1590.0
PEP,5,3.1292873449605807,0.014672834152452538,1.4524986976990855e-10,15,591.0,637.0,77.0,2496.0
REXR,5,4.101845592451639,0.0,7.244137939037447e-11,11,591.0,562.0,1254.0,2600.0
PG,5,3.221998291523893,0.0014455044810638912,6.305290690553109e-12,15,591.0,627.0,418.0,2859.0
DRI,5,3.2406115355495833,0.007075262599980726,4.41271972120623e-12,19,591.0,626.0,148.0,2920.0
PMT,5,3.118116842296093,0.0005782017924255565,5.614078549620058e-10,14,591.0,639.0,641.0,2272.0
ADC,5,3.7182229159508604,0.0,9.966293296936224e-09,11,591.0,588.0,1254.0,1681.0
UFPI,5,2.958393411879065,0.016210921825764023,1.731436918768078e-11,55,591.0,657.0,66.0,2743.0
TDF,5,2.6857200846134446,0.02646718704827985,4.2595261260599267e-10,22,591.0,690.0,39.0,2331.0
SWKS,5,3.491064724479926,0.004485882239568274,4.442758370395833e-10,57,591.0,612.0,221.0,2323.0
ISRG,5,2.5338003753597715,0.005060229353377662,2.5542357162307344e-11,50,591.0,700.0,195.0,2686.0
SCCO,5,3.057828969330134,0.0009135588320323792,5.801428280385858e-10,24,591.0,645.0,508.0,2263.0
ODFL,5,3.259883593224659,0.0014455044810638912,1.7155472211706978e-10,16,591.0,625.0,418.0,2477.0
CDE,5,3.7264519840346018,0.0,4.490430723625284e-10,26,591.0,586.0,1254.0,2321.0
FTI,5,3.616506380922244,3.1065355756314214e-05,1.3879924409523722e-08,10,591.0,603.0,1175.0,1636.0
LECO,5,3.5696117838232513,0.00011671110254515862,7.99219573661301e-06,16,591.0,605.0,1149.0,476.0
GOOD,5,3.30110375347897,0.0007719464702596548,2.8821383099795276e-07,11,591.0,623.0,595.0,1180.0
SCM,5,2.015843811778308,0.005059265683723618,2.920439641529035e-09,5,591.0,799.0,197.0,1864.0
SAN,5,3.8053492868975924,0.0002409174135106496,9.589754293828711e-09,7,591.0,577.0,1121.0,1694.0
EQBK,5,3.51679679806164,0.0,0.004914203380206138,40,591.0,610.0,1254.0,156.0
TNL,5,3.7518999181668007,0.0005782017924255565,5.1111190572419764e-11,11,591.0,581.0,641.0,2641.0
SBLK,5,2.7810760529082907,0.013712055507372067,3.2127924071111545e-12,25,591.0,684.0,84.0,2950.0
TGS,5,3.7344061292097015,0.0,1.6998658623864641e-12,24,591.0,584.0,1254.0,2993.0
GD,5,3.111583775115341,0.0028910089621277824,2.3450616633618154e-06,34,591.0,640.0,340.0,710.0
TRNO,5,4.048777955845943,0.0,7.134285375712464e-11,11,591.0,564.0,1254.0,2603.0
CMC,5,3.5233934134784457,0.004782250945379269,1.0518260659560795e-13,24,591.0,609.0,203.0,3189.0
KO,5,2.7375470826814134,0.01666377565770454,3.182755140373819e-09,15,591.0,687.0,65.0,1846.0
RIOT,5,2.1677922436993358,0.002312807169702226,7.843506330276095e-09,42,591.0,763.0,354.0,1722.0
VCYT,5,2.2473660193795357,0.001156403584851113,7.963298207044426e-07,42,591.0,740.0,462.0,837.0
VNOM,5,3.6579046029280535,0.0,1.4962080636975765e-08,10,591.0,599.0,1254.0,1628.0
ABG,5,3.7476237103521646,6.42446436028396e-07,2.495894481326189e-11,31,591.0,582.0,1224.0,2690.0
SHG,5,2.992842008733605,0.004774019466127011,6.954708282110845e-12,22,591.0,653.0,206.0,2847.0
SKT,5,3.603506602031808,0.0,1.763793446794634e-09,11,591.0,604.0,1254.0,2024.0
NMFC,5,3.5421076488069723,0.0005782017924255566,9.306474686767439e-11,5,591.0,608.0,632.0,2565.0
BTE,5,3.4885239762481826,0.00028910089621277823,1.2827749337659186e-08,10,591.0,613.0,818.0,1642.0
BIDU,5,1.605819220271871,0.005347402910282355,2.0279101591450402e-13,22,591.0,875.0,181.0,3136.0
BHP,5,3.678872161209869,0.04737110918377179,2.5577485815587657e-08,24,591.0,594.0,23.0,1546.0
WSM,5,2.493281031724014,0.0017346053772766695,5.348290019211351e-14,55,591.0,708.0,388.0,3234.0
PRDO,5,2.197837565952677,0.001156403584851113,4.222771779788602e-06,39,591.0,754.0,462.0,560.0
AMH,5,3.658953286410096,0.0,5.750346191470245e-10,11,591.0,597.0,1254.0,2265.0
POWI,5,3.4127184524087926,0.00032331116893129035,6.599183425700508e-10,57,591.0,615.0,772.0,2233.0
