network,model_type,repetition,nodes,edges,density,min_degree,max_degree,average_degree,average_clustering,assortativity,connected,largest_cc_size,average_path_lcc,diameter_lcc,louvain_communities_unweighted,modularity_unweighted,louvain_communities_weighted,modularity_weighted,degree_sequence_error_mean,degree_sequence_error_max
Configuration model rep 18,Configuration model,18,3461,12180,0.0020342278034515067,1,239,7.038428199942214,0.05918027198512562,-0.06087331547309804,False,3283,3.542704156343975,8,111,0.3035889072236108,,,0.5952036983530772,122.0
"ER same n,m rep 19","ER same n,m",19,3461,13210,0.0022062519937269625,0,18,7.63363189829529,0.0021480239672023753,0.01771697614227352,False,3458,4.239226434391089,8,26,0.3186090355470158,,,,
BA similar avg degree rep 19,BA similar avg degree,19,3461,13828,0.002309466507892236,4,193,7.990754117307136,0.016549548426101617,-0.05509371377951868,True,3461,3.5488792540496665,6,19,0.3122167826737665,,,,
Configuration model rep 19,Configuration model,19,3461,12129,0.002025710100826217,1,239,7.008956948858711,0.05798259881798585,-0.042228391811072866,False,3309,3.5761544766517464,9,97,0.3060536687666426,,,0.624674949436579,122.0
"ER same n,m rep 20","ER same n,m",20,3461,13210,0.0022062519937269625,0,18,7.63363189829529,0.002688920195761129,-0.00897084930233796,False,3456,4.242041525968805,8,25,0.32467352056484633,,,,
BA similar avg degree rep 20,BA similar avg degree,20,3461,13828,0.002309466507892236,4,148,7.990754117307136,0.01184185152312139,-0.04236764276839071,True,3461,3.6146417637990957,6,19,0.3211404216972367,,,,
Configuration model rep 20,Configuration model,20,3461,12192,0.0020362319687751043,1,267,7.045362611961861,0.056373560922601346,-0.07850121045550747,False,3311,3.545365854548739,9,96,0.30326681519248455,,,0.5882692863334297,94.0
"ER same n,m rep 21","ER same n,m",21,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.0025463857170185894,0.011012717962570577,False,3456,4.237913718711476,7,25,0.3254459923864253,,,,
BA similar avg degree rep 21,BA similar avg degree,21,3461,13828,0.002309466507892236,4,182,7.990754117307136,0.01328650196879254,-0.0501479213168341,True,3461,3.5832892695318437,5,16,0.31941412174984385,,,,
Configuration model rep 21,Configuration model,21,3461,12183,0.002034728844782406,1,252,7.040161802947125,0.05830688053733142,-0.0629927521310998,False,3304,3.5645744311979937,9,98,0.30505467292076766,,,0.5934700953481653,109.0
"ER same n,m rep 22","ER same n,m",22,3461,13210,0.0022062519937269625,0,19,7.63363189829529,0.0020351794983404347,0.000995963213465868,False,3457,4.236653154094216,7,24,0.3267480162357217,,,,
BA similar avg degree rep 22,BA similar avg degree,22,3461,13828,0.002309466507892236,4,190,7.990754117307136,0.015322815802082711,-0.050783144171351005,True,3461,3.5713444442032025,6,19,0.3148495715660034,,,,
Configuration model rep 22,Configuration model,22,3461,12143,0.0020280482937037477,1,239,7.0170470962149665,0.059835008254939745,-0.05559490808019694,False,3294,3.5557663023126276,9,105,0.30467442761835717,,,0.6165848020803236,122.0
"ER same n,m rep 23","ER same n,m",23,3461,13210,0.0022062519937269625,0,20,7.63363189829529,0.0021641653522058175,0.0005139890723750196,False,3460,4.239608493884597,8,25,0.32046642457111324,,,,
BA similar avg degree rep 23,BA similar avg degree,23,3461,13828,0.002309466507892236,4,195,7.990754117307136,0.014336567564279548,-0.04629561679276206,True,3461,3.582640421008329,6,18,0.3168711172737602,,,,
Configuration model rep 23,Configuration model,23,3461,12193,0.0020363989825520705,1,249,7.045940479630165,0.05890199124890688,-0.06370466326962464,False,3293,3.5688687923386957,9,103,0.3043736166313721,,,0.5876914186651256,112.0
"ER same n,m rep 24","ER same n,m",24,3461,13210,0.0022062519937269625,0,20,7.63363189829529,0.002404109802605021,-0.0040636862090019255,False,3460,4.245994615704696,7,21,0.3263699620811202,,,,
