ticker,degree,weighted_degree,betweenness,eigenvector,community
NAD,22,16.332211407958443,0.001158097654917545,1.49911490587574e-08,33
NNN,22,16.28789509506447,0.0975647302918171,1.8829834769793881e-07,11
MTDR,22,16.68200173377686,0.0012883380491697043,6.243117553287809e-08,10
VKQ,21,15.613992668438204,0.0008742946473504438,1.4318651543668839e-08,33
CVE,21,15.769756256534286,0.00019278962385657454,6.357319154153097e-08,10
TYG,21,12.926786963818927,0.01236694648057766,3.0647414318791787e-07,10
BTO,21,13.61917157128627,0.0011564482972404337,0.013676553347769637,40
STT,21,15.44656527888474,4.818348270212971e-08,0.00891831428735036,54
OKE,21,15.679566589101299,0.0033476533345358516,9.682500134416447e-08,10
PTEN,21,14.693486339845037,0.00514212298736656,3.872786470408112e-08,10
LDP,20,14.405287432011905,0.000774630273132893,6.040776638986364e-06,29
ETR,20,14.922369218605386,3.8612747331095576e-05,6.44226179535959e-08,8
MKSI,20,13.01839468384522,0.007961398981346943,1.1832737309321672e-08,57
BK,20,14.68137355627613,0.0,0.008713275683424695,54
XEL,20,15.45692489703453,0.00020903284059439796,6.932431680520497e-08,8
FRA,20,14.959083592863825,0.00010428692774224041,4.485328154108777e-06,29
WEC,20,15.235170867833046,0.00028910089621277823,6.579801411074375e-08,8
RQI,19,14.341718665120554,0.1225461563122276,8.695966177032093e-06,29
IGD,19,13.960157097466478,0.0,4.9947158969476954e-05,29
DSL,19,13.347794162286537,0.0006677258644031804,6.5243954907103685e-06,29
SPG,19,14.051007584300566,0.05077259151920825,9.53703426710837e-09,11
XOM,19,14.216266097472605,1.8254558400703886e-05,5.972515606094398e-08,10
NEA,19,13.980130023881035,0.0005795585781130736,1.414502792144219e-08,33
OGE,19,13.910332365070774,8.242687833034036e-07,5.940652177622366e-08,8
PAAS,19,13.932442273948556,0.003625999807266068,1.7433028214145487e-09,26
OVV,19,12.699474312340394,0.000991541520337734,4.5782380627325996e-08,10
EXC,19,13.852863264424872,0.00028955863929844847,5.6958467641556366e-08,8
ITT,19,13.068268110821665,0.022547809401304224,0.000335709407959299,16
SU,19,14.215011057513133,4.096862198600574e-06,5.956222699213206e-08,10
CNQ,19,14.04374914973262,0.0004123565185044351,5.8652585619537896e-08,10
ERC,19,13.81266855545188,0.00029219259166846686,4.772876193850588e-06,29
EVRG,18,13.235432318266408,8.22567438847949e-05,6.18245845631185e-08,8
EMD,18,12.061754243527607,0.002027144891556571,4.890267144168779e-06,29
