source,target,correlation,distance,edge_type
CGNX,MKSI,0.5749888236238185,0.9219665681316015,MST
OLED,SWKS,0.5748952500312132,0.9220680560227502,MST
ALNT,RMT,0.5744196712333218,0.9225836859241314,MST
CWST,RSG,0.5742044262917315,0.9228169631170295,MST
AM,AR,0.5741969149835938,0.9228251026239004,MST
RVT,ZBRA,0.5739276524208995,0.923116837219537,MST
FELE,TNC,0.5735785347151553,0.9234949542740823,MST
MSFT,SAP,0.573545746207074,0.9235304583963931,MST
RYZ,STLD,0.5732663844934619,0.9238329021057197,MST
COO,SYK,0.5730134231962609,0.9241066786943367,MST
GDO,ISD,0.5729205003852175,0.924207227427683,MST
NNI,TOWN,0.5729143346934473,0.9242138987340027,MST
NGL,PAA,0.5726941301276026,0.92445212950417,MST
FISV,GPN,0.5725516793817802,0.9246062087377738,MST
AMBA,MPWR,0.5723961316100938,0.924774424808457,MST
CLS,JBL,0.5723723867457742,0.9248001008371765,MST
GTN,SSP,0.5722816789761735,0.924898179286592,MST
GSK,NVS,0.5722585553608033,0.9249231802038446,MST
NUW,NZF,0.5721102557237792,0.9250835035565393,MST
AUB,MCHB,0.5717252333830039,0.9254996127681482,MST
GPK,SON,0.5712852558582944,0.9259748853416119,MST
ROCK,SSD,0.5712235399967968,0.9260415325493812,MST
CSIQ,FSLR,0.5709358979161779,0.926352095138584,MST
DY,MTZ,0.5703848758124102,0.9269467343786155,MST
GAP,PVH,0.5702885867670532,0.9270506062054507,MST
AAT,DHC,0.5701043065220943,0.9272493661123804,MST
MDLZ,MKC,0.5698005314262219,0.9275769171058302,MST
NXP,VMO,0.5696643961329992,0.9277236699222465,MST
HUBS,OKTA,0.5695611800467546,0.9278349206116845,MST
FUL,SXT,0.5695579180818799,0.9278384362787737,MST
GDV,VVV,0.5694331035984971,0.9279729483142307,MST
OMC,PRU,0.5687591883850306,0.9286988872772158,MST
FNLC,NKSH,0.5685854692841058,0.9288859248754867,MST
DBL,DSL,0.5684100909844588,0.9290747106832057,MST
JD,TCOM,0.5681403039051952,0.9293650478631148,MST
PLUS,RVT,0.568138667403843,0.9293668087425513,MST
BUSE,TRS,0.5680793652753618,0.9294306157262501,MST
ARW,NSIT,0.5680637682848881,0.9294473968064162,MST
JD,NTES,0.5678172955943006,0.9297125409562887,MST
BDCZ,PSEC,0.5677337951063566,0.9298023498503791,MST
TCPC,WHF,0.5672253275370911,0.9303490446739965,MST
ISTR,PGC,0.5672052921880488,0.930370579728262,MST
ABT,TMO,0.5671415336789872,0.9304391074337028,MST
GDV,UHS,0.5671286782412243,0.9304529238588869,MST
KLAC,PDFS,0.5664190525766579,0.9312152784650197,MST
GDV,LH,0.5663604161316008,0.9312782439941343,MST
AIR,DCO,0.5663331558964333,0.9313075153820748,MST
AZO,GPC,0.5661494412917705,0.9315047597390252,MST
TKR,WNC,0.5661242811558735,0.9315317695539175,MST
AVNT,NVRI,0.5659200511006547,0.9317509848659623,MST
DRI,QSR,0.5658795731473816,0.9317944267408111,MST
CALY,RVT,0.5656333429136016,0.9320586430975236,MST
NOW,PEGA,0.5655976018383463,0.9320969886891103,MST
CIEN,LITE,0.5652186465356421,0.9325034621537422,MST
MOMO,WB,0.5650793297165265,0.9326528510474553,MST
COST,WMT,0.5649567007041298,0.9327843258716028,MST
HLIO,NPO,0.5645555999546947,0.9332142305444182,MST
EME,GVA,0.5644540294068959,0.9333230636742071,MST
SEM,UHS,0.5644399675057906,0.9333381300409936,MST
DLB,RVT,0.5640719650439514,0.9337323331191317,MST
ASA,GLDG,0.5639267869187103,0.933887801699208,MST
HMC,IX,0.5638725824762165,0.9339458416030166,MST
CATY,MGRC,0.5637795981572036,0.934045397015366,MST
ANGI,IAC,0.563262878504789,0.9345984394329053,MST
DRI,WEN,0.5632592770224267,0.9346022929327461,MST
LNN,VMI,0.5629955408329966,0.9348844411658623,MST
RVT,TTEK,0.5626494210554879,0.9352545952247571,MST
GEF,PKG,0.5625232578747423,0.935389482649081,MST
MUR,TPL,0.5621102370469007,0.9358309280560237,MST
CPRT,MCO,0.5620677848671861,0.9358762900435227,MST
NFG,NJR,0.5619318629325292,0.9360215137137295,MST
EW,ISRG,0.5618624382002068,0.9360956807931476,MST
BGC,RVT,0.561610492760608,0.9363647870775491,MST
MANH,NIE,0.5615602188290437,0.936418476078891,MST
AOD,IFN,0.5614202793721701,0.936567905309412,MST
DGII,RMT,0.5613768910693894,0.9366142310798087,MST
EXPE,TRIP,0.5613506951722012,0.9366421993779683,MST
SNN,SYK,0.5610880777772973,0.9369225391916908,MST
BANR,RVSB,0.5607576084938907,0.9372751906522537,MST
BLX,WTFC,0.5603757945017623,0.9376824681076613,MST
JACK,WEN,0.5602501413520948,0.9378164624785653,MST
RVT,SCSC,0.5602228627134477,0.937845549423307,MST
CBOE,CME,0.5600792750551863,0.9379986406651277,MST
FPF,JHS,0.5600717359838185,0.9380066780318587,MST
MCO,MORN,0.5600003954274211,0.938082730437544,MST
EPAM,GLOB,0.5599043749977598,0.9381850830217247,MST
CVLG,MRTN,0.559742013360925,0.9383581263452403,MST
CVX,KRP,0.5596832665557134,0.9384207302103749,MST
NOW,VEEV,0.5595851843607885,0.9385252427497212,MST
FR,IRM,0.559448484489566,0.9386708853591167,MST
VLT,WEA,0.559198300277782,0.9389373778077195,MST
LPX,WFG,0.5590596764525391,0.9390850052550738,MST
IBOC,PLOW,0.5587544700816093,0.9394099530219922,MST
ACN,GLOB,0.5580837480213043,0.9401236641832772,MST
INTU,QTWO,0.5580829301378594,0.9401245341571941,MST
ACHC,UHS,0.5578581737771863,0.940363574605922,MST
SHOO,WWW,0.5578262898255261,0.9403974799779867,MST
BATRA,GDV,0.5577048993035162,0.9405265553895688,MST
SF,SNEX,0.5576374484847202,0.9405982686729546,MST
DJP,VET,0.5575051516257121,0.9407389099790524,MST
AEO,ZUMZ,0.557491762671901,0.9407531422515675,MST
HUBS,WIX,0.5570314002013265,0.9412423702731125,MST
MXL,NXPI,0.5569794510001851,0.9412975608167854,MST
DAR,RVT,0.5567970237481227,0.9414913448905171,MST
IQI,NAZ,0.5567938262314599,0.9414947411096252,MST
BANX,FPF,0.5567268498046302,0.9415658768194287,MST
QSR,YUM,0.5566943005899666,0.9416004454226149,MST
AHT,DRH,0.5566433302942039,0.9416545754211532,MST
INTC,MCHP,0.5565658497680127,0.9417368530879391,MST
WLY,WLYB,0.5562429330230635,0.9420796855648003,MST
DSX,SBLK,0.5562314103161656,0.9420919166236746,MST
ARLP,TYG,0.5561770013223997,0.9421496682349364,MST
KELYA,KFY,0.5560754953072733,0.9422574008122481,MST
AVNT,MYE,0.556037405499069,0.9422978239398954,MST
